Design title:;nrf52840_holyiot_18010_breakout_rev_1;;;;;
Date:;31.10.2018 18.40;;;;;
Designer:;Ole Bauck;;;;;
Company:;Inventas;;;;;
;;;;;;
Item;Qty;Refdes;Description;Value;MANUFACTURER_PART_NUMBER;MANUFACTURER_NAME
1;5;C1, C5, C6, C7, C9;CAP-6.3V-20%-0402;0.1uF;;
2;1;R1;RES-0.063W-5%-0402;0R;;
3;1;C2;CAP-6.3V-20%-0603;1.0uF;;
4;4;R2, R3, R4, R5;RES-0.063W-5%-0402;1k;;
5;1;C8;CAP-6.3V-20%-0402;1uF;;
6;2;C3, C4;CAP-6.3V-20%-0402;300pF;;
7;1;NFC;51281-0594;51281-0594;51281-0594;Molex
8;1;IC3;AT30TS74-SS8M-T;AT30TS74-SS8M-T;AT30TS74-SS8M-T;microchip
9;1;B1;BATTERY-BU2032;BATTERY-BU2032;BU2032SM-HD-G;MPD
10;1;D2;LED0603;BLUE;;
11;1;PROG;CORTEX_DEBUG_PTH;CORTEX_DEBUG_PTH;;
12;1;IC2;HOLYIOT_18010;HOLYIOT_18010;18010;Holyiot
13;1;USR;KMR2;KMR2;KMR211GLFS;C&K
14;1;IC1;MMA8652FCR1;MMA8652FCR1;MMA8652FCR1;NXP
15;1;D1;LED0603;RED;;
16;1;R6;RES-0.063W-1%-0402;TBD;;
;;;;;;
The following components shall not be mounted;;;;;;
Item;Qty;Refdes;Description;Value;MANUFACTURER_PART_NUMBER;MANUFACTURER_NAME
